

https://launchpad.net/~alex-p/+ppa-packages


tesseract	tesseract-ocr - Tesseract command line OCR tool - Ubuntu Bionic	4.00~git2521-3aa9b37c-1ppa1~bionic1	16 hours ago	None
deadbeef-mpris2-plugin	notesalexp-xenial - Ubuntu Xenial	1.10+git138-bf93eb3-1ppa1~xenial1	2018-05-29	None
deadbeef-mpris2-plugin	notesalexp-trusty - Ubuntu Trusty	1.10+git138-bf93eb3-1ppa1~trusty1	2018-05-29	None
deadbeef	notesalexp-bionic - Ubuntu Bionic	0.7.2+git7717-ad2c5e09-1ppa1~bionic1	2018-05-29	None
deadbeef	notesalexp-artful - Ubuntu Artful	0.7.2+git7717-ad2c5e09-1ppa1~artful1	2018-05-29	None
deadbeef	notesalexp-xenial - Ubuntu Xenial	0.7.2+git7717-ad2c5e09-1ppa1~xenial1	2018-05-29	None
deadbeef	notesalexp-trusty - Ubuntu Trusty	0.7.2+git7717-ad2c5e09-1ppa1~trusty1	2018-05-29	None
clementine-qt4	notesalexp-bionic - Ubuntu Bionic	1.3.1+git1958-gc01b7bc43-1ppa1~bionic1	2018-05-29	None
clementine-qt4	notesalexp-artful - Ubuntu Artful	1.3.1+git1958-gc01b7bc43-1ppa1~artful1	2018-05-29	None
clementine-qt4	notesalexp-xenial - Ubuntu Xenial	1.3.1+git1958-gc01b7bc43-1ppa1~xenial1	2018-05-29	None
clementine-qt4	notesalexp-trusty - Ubuntu Trusty	1.3.1+git1958-gc01b7bc43-1ppa1~trusty1	2018-05-29	None
balsa	notesalexp-bionic - Ubuntu Bionic	2.5.5+git8826-910f3b1f-1ppa1~bionic1	2018-05-29	None
balsa	notesalexp-artful - Ubuntu Artful	2.5.5+git8826-910f3b1f-1ppa1~artful1	2018-05-29	None
balsa	notesalexp-xenial - Ubuntu Xenial	2.5.5+git8826-910f3b1f-1ppa1~xenial1	2018-05-29	None
audacity	notesalexp-bionic - Ubuntu Bionic	1:2.2.2+git8678-a3abacd55-1ppa1~bionic1	2018-05-29	None
audacity	notesalexp-artful - Ubuntu Artful	1:2.2.2+git8678-a3abacd55-1ppa1~artful1	2018-05-29	None
audacity	notesalexp-xenial - Ubuntu Xenial	1:2.2.2+git8678-a3abacd55-1ppa1~xenial1	2018-05-29	None
aegisub	notesalexp-bionic - Ubuntu Bionic	1:3.2.3~git7826-a32bf7acd-1ppa1~bionic1	2018-05-29	None
aegisub	notesalexp-artful - Ubuntu Artful	1:3.2.3~git7826-a32bf7acd-1ppa1~artful1	2018-05-29	None
aegisub	notesalexp-xenial - Ubuntu Xenial	1:3.2.3~git7826-a32bf7acd-1ppa1~xenial1	2018-05-29	None
aegisub	Aegisub - Advanced subtitle editor - Ubuntu Bionic	1:3.2.3~git7826-a32bf7acd-1ppa1~bionic1	2018-05-26	None
aegisub	Aegisub - Advanced subtitle editor - Ubuntu Artful	1:3.2.3~git7826-a32bf7acd-1ppa1~artful1	2018-05-26	None
aegisub	Aegisub - Advanced subtitle editor - Ubuntu Xenial	1:3.2.3~git7826-a32bf7acd-1ppa1~xenial1	2018-05-26	None
goaccess	goaccess - log analyzer for the Apache - Ubuntu Bionic	1:1.2.0+git2726-5ccc700-1ppa1~bionic1	2018-05-24	None
goaccess	goaccess - log analyzer for the Apache - Ubuntu Artful	1:1.2.0+git2726-5ccc700-1ppa1~artful1	2018-05-24	None
goaccess	goaccess - log analyzer for the Apache - Ubuntu Xenial	1:1.2.0+git2726-5ccc700-1ppa1~xenial1	2018-05-24	None
goaccess	goaccess - log analyzer for the Apache - Ubuntu Trusty	1:1.2.0+git2726-5ccc700-1ppa1~trusty1	2018-05-24	None
goaccess	goaccess - log analyzer for the Apache - Ubuntu Precise	1:1.2.0+git2726-5ccc700-1ppa1~precise1	2018-05-24	None
1 → 75 of 1799 results	First • Previous • Next • Last

